"filename", "language", "JavaScript", "CSS", "comment", "blank", "total"
"/home/ajahnkimble/Documents/1-Pri/React-SmartPad/smartpad-react/src/App.css", "CSS", 0, 14, 0, 3, 17
"/home/ajahnkimble/Documents/1-Pri/React-SmartPad/smartpad-react/src/App.js", "JavaScript", 49, 0, 2, 11, 62
"/home/ajahnkimble/Documents/1-Pri/React-SmartPad/smartpad-react/src/App.test.js", "JavaScript", 7, 0, 0, 2, 9
"/home/ajahnkimble/Documents/1-Pri/React-SmartPad/smartpad-react/src/GUI/StartAudioButton/AudioButton.css", "CSS", 0, 12, 0, 1, 13
"/home/ajahnkimble/Documents/1-Pri/React-SmartPad/smartpad-react/src/GUI/StartAudioButton/StartAudioButton.js", "JavaScript", 18, 0, 5, 4, 27
"/home/ajahnkimble/Documents/1-Pri/React-SmartPad/smartpad-react/src/MIDI/useMIDIAccess.js", "JavaScript", 68, 0, 4, 15, 87
"/home/ajahnkimble/Documents/1-Pri/React-SmartPad/smartpad-react/src/MIDI/usePuredata.js", "JavaScript", 18, 0, 4, 3, 25
"/home/ajahnkimble/Documents/1-Pri/React-SmartPad/smartpad-react/src/Sequencing/useRepeater.js", "JavaScript", 5, 0, 2, 2, 9
"/home/ajahnkimble/Documents/1-Pri/React-SmartPad/smartpad-react/src/SmartPad/Hooks/usePadStore.js", "JavaScript", 97, 0, 2, 7, 106
"/home/ajahnkimble/Documents/1-Pri/React-SmartPad/smartpad-react/src/SmartPad/Hooks/useSmartPadInputs.js", "JavaScript", 93, 0, 7, 16, 116
"/home/ajahnkimble/Documents/1-Pri/React-SmartPad/smartpad-react/src/SmartPad/Hooks/useSmartPadLights.js", "JavaScript", 48, 0, 2, 8, 58
"/home/ajahnkimble/Documents/1-Pri/React-SmartPad/smartpad-react/src/SmartPad/SmartPad.js", "JavaScript", 51, 0, 7, 14, 72
"/home/ajahnkimble/Documents/1-Pri/React-SmartPad/smartpad-react/src/SmartPad/SmartPadModel.js", "JavaScript", 131, 0, 23, 21, 175
"/home/ajahnkimble/Documents/1-Pri/React-SmartPad/smartpad-react/src/index.css", "CSS", 0, 7, 0, 2, 9
"/home/ajahnkimble/Documents/1-Pri/React-SmartPad/smartpad-react/src/index.js", "JavaScript", 12, 0, 3, 3, 18
"/home/ajahnkimble/Documents/1-Pri/React-SmartPad/smartpad-react/src/reportWebVitals.js", "JavaScript", 12, 0, 0, 2, 14
"/home/ajahnkimble/Documents/1-Pri/React-SmartPad/smartpad-react/src/setupTests.js", "JavaScript", 1, 0, 4, 1, 6
"Total", "-", 610, 33, 65, 115, 823
